number,value,params_colsample_bytree,params_learning_rate,params_max_bin,params_max_depth,params_min_child_samples,params_min_split_gain,params_num_leaves,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,user_attrs_best_iteration
97,0.050212164073550225,0.6813678065989441,0.036729431561161416,82,5,57,0.1785177585623629,31,0.0035785314937381452,0.002810175133364265,4.902189916202776,0.9675075986993198,7
98,0.04971988795518212,0.7370562431902425,0.07762637911556171,114,6,67,0.19806312197446083,25,0.06306202534106237,0.0038885065376444805,1.4919745739728874,0.8690094608966388,4
99,0.05326331582895727,0.7214056691934027,0.05031770091197709,96,4,50,0.1523955306239698,7,0.007474672648102114,0.01705969641117121,2.6969921519330673,0.9176543850503864,33
100,0.052592592592592635,0.7489172992087382,0.06467973728347376,128,5,86,0.21358029222061486,27,0.04808553289002585,0.0016188760565835594,1.2878894196287,0.7965681784969192,8
101,0.05734144222415294,0.6015888919403123,0.06795982529596134,79,5,46,0.22409645416614682,19,0.1936084492369238,0.009901329024357582,5.177390759802686,0.9559015426381829,13
102,0.057605760576057596,0.7692651813915347,0.06905881573686594,219,5,42,0.21597607636891686,21,0.2751883357650459,0.007817725524605858,4.142880527073058,0.9838961018039303,11
103,0.05652173913043479,0.6540890664049162,0.07504185786522868,91,5,61,0.2457585873576258,23,0.013986624259939144,0.012071934436938589,3.8802329753165115,0.973222419985101,11
104,0.05046197583511014,0.7933462751681067,0.07114691399273958,85,6,55,0.20602982809258794,18,0.023149954578484667,0.021743823076900138,4.321618137713676,0.9624565811327085,6
105,0.05190058479532167,0.820970190301924,0.06646569892780656,69,5,48,0.27548920508692015,20,0.017373202879432528,0.002209633851055184,5.8420623288109255,0.9046410521438549,1
106,0.05193855157278715,0.6312377939749323,0.07378691717010859,175,5,32,0.23653990113367818,26,0.011062191318611444,0.015601178437650928,4.676664342915008,0.9851223532275407,3
107,0.050070521861777184,0.618458729288329,0.04097890366690815,157,5,51,0.22709867078384777,19,0.0737415298368949,0.006431664225176967,5.461812549607922,0.9426930459984184,5
108,0.05342362678705792,0.8038143084513742,0.039598459167419095,75,6,40,0.1129200627361378,21,0.10139614282067738,0.008774935837465372,2.003674368905232,0.9297581818519411,3
109,0.05270972531551599,0.8752631269139867,0.05313085974556885,99,4,44,0.2583748982828351,22,0.031515181787843884,0.0013813239386377908,2.396453967423015,0.8782325518518923,4
110,0.059928443649373886,0.7010976040400984,0.07828896253660564,120,5,72,0.17201468935831252,23,0.1383170890569193,0.013473021820830884,2.8460722200360973,0.8866948809005015,15
111,0.05152394775036284,0.6411428418891069,0.06079361140762029,81,5,55,0.2522871757244638,19,0.0076534302393570465,0.03705617190432495,2.9331244925922544,0.9952366591081674,4
112,0.06165004533091567,0.6641097274914265,0.06659224474963978,87,5,37,0.26454321491225785,20,0.019208965765841548,0.02639475457247246,2.7676640082861335,0.9776325169463621,12
113,0.051673944687045115,0.6743357714126401,0.07158284065494902,72,5,60,0.2381883570003595,17,0.009373923511705084,0.05408494656709911,3.018093034383984,0.9859379448852931,4
114,0.05216752387950041,0.8380187401618844,0.06397077139148816,92,5,49,0.21933508835006052,18,0.012724906313845992,0.02063146937103271,2.580873780360125,0.9926130544821569,6
115,0.05516705516705511,0.7087186762742218,0.07493386240005717,103,5,64,0.2427428716251132,20,0.053657247037373915,0.17054107862603624,2.142363520284064,0.8415686168561332,8
116,0.05314371257485029,0.6239643836768043,0.07275395684899025,63,6,45,0.2113783990855087,21,0.0147574483243682,0.018660091910388258,3.2547327288149264,0.8115590253236601,7
117,0.05525291828793777,0.6088849322115257,0.06911695333143256,76,4,57,0.19622629255717666,22,0.003297528253436218,0.028680047068770347,1.6621991109883552,0.8951436131746198,29
118,0.05247597930524761,0.6916042355197514,0.07715614266724553,149,6,51,0.2273640063669557,15,0.006439308599666651,0.73004908304724,5.583262757057722,0.9702174279516794,2
119,0.06355511420059579,0.6487062497596734,0.07960653601794303,84,5,79,0.20255707550417168,19,0.4124139157592808,0.004446411234536915,5.735863884806116,0.8338584720695051,5
